Code_postal;Libelle_acheminement
11800;MARSEILLETTE
11570;MAS DES COURS
11330;MASSAC
11700;MONTBRUN DES CORBIERES
11230;MONTJARDIN
11170;MONTOLIEU
11290;MONTREAL
11120;MOUSSAN
11170;MOUSSOULENS
11200;NEVIAN
11270;ORSANS
11350;PADERN
11330;PALAIRAC
11570;PALAJA
11200;PARAZA
11350;PAZIOLS
11170;PEZENS
11380;PRADELLES CABARDES
11220;PRADELLES EN VAL
11400;PUGINIER
11190;RENNES LES BAINS
11230;STE COLOMBE SUR L HERS
11700;ST COUAT D AUDE
11220;ST MARTIN DES PUITS
11300;ST MARTIN DE VILLEREGLAN
11400;ST MARTIN LALANDE
11420;ST SERNIN
11140;SALVEZINES
11240;SEIGNALENS
11230;SONNAC SUR L HERS
11330;SOULATGE
11380;LA TOURETTE CABARDES
11300;TOURREILLES
11350;TUCHAN
11330;VIGNEVIEILLE
11220;VILLAR EN VAL
11600;VILLEGAILHENC
11600;VILLEGLY
11620;VILLEMOUSTAUSSOU
11160;VILLENEUVE MINERVOIS
11170;VILLESEQUELANDE
12260;AMBEYRAC
12120;ARVIEU
12110;AUBIN
12110;AUBIN LE GUA
12510;BALSAC
12200;LE BAS SEGALA LA BASTIDE L EVEQUE
12300;BOISSE PENCHOT
12300;BOUILLAC
12340;BOZOULS
12350;BRANDONNET
12550;BRASC
12360;CAMARES
12460;CAMPOURIEZ
12260;LA CAPELLE BALAGUIER
12230;LA CAVALERIE
12500;LE CAYROL
12120;CENTRES
12540;LE CLAPIER
12240;COLOMBIES
12120;COMPS LA GRAND VILLE
12470;CONDOM D AUBRAC
12170;CONNAC
12320;CONQUES EN ROUERGUE NOAILHAC
12400;LES COSTES GOZON
12230;LA COUVERTOIRADE
12110;CRANSAC
12000;DRUELLE AMPIAC
12190;ESTAING
12300;FIRMI
12230;L HOSPITALET DU LARZAC
12500;LASSOUTS
12440;LESCURE JAOUL
12270;LUNAC
12160;MANHAC
12120;MELJAC
12000;LE MONASTERE
12360;MONTAGNOL
12630;MONTROZIER
12600;MUROLS
12700;NAUSSAC
12320;PRUINES
12000;RODEZ
12120;RULLAC ST CIRQ
12230;STE EULALIE DE CERNON
12420;ARGENCES EN AUBRAC STE GENEVIEVE SUR ARGENCE
12420;ARGENCES EN AUBRAC VITRAC EN VIADENE
12230;ST JEAN DU BRUEL
12120;STE JULIETTE SUR VIAUR
12800;ST JUST SUR VIAUR
12560;ST LAURENT D OLT
12200;ST REMY
12370;ST SEVER DU MOUSTIER
12410;SALLES CURAN
12230;SAUCLIERES
12200;SAVIGNAC
12170;LA SELVE
12700;SONNAC
12360;TAURIAC DE CAMARES
12490;VIALA DU TARN
39250;MIGNOVILLARD COMMUNAILLES EN MONTAGNE
39250;MIGNOVILLARD ESSAVILLY
39210;MONTAIN
39320;MONTFLEUR
39800;MONTHOLIER
39290;MONTMIREY LE CHATEAU
39300;MONT SUR MONNET
39400;HAUTS DE BIENNE MOREZ
39270;MOUTONNE
39140;NANCE
39300;NEY
39250;NOZEROY
39290;OFFLANGES
39270;ORGELET
39270;ORGELET SEZERIA
39100;PARCEY
39130;PATORNAY
39570;PERRIGNY
39370;LA PESSE
39150;LES PLANCHES EN MONTAGNE
39800;POLIGNY
39600;PORT LESNEY
39120;RAHON
39230;RECANOZ
39350;ROMAIN
39140;RUFFEY SUR SEILLE
39120;ST BARAING
39200;ST CLAUDE CHAUMONT
39200;ST CLAUDE CINQUETRAL
39570;ST DIDIER
39240;ST HYMETIERE
39230;ST LAMAIN
39700;SALANS
39380;SANTANS
39300;SAPOIS
39240;SAVIGNA
39120;SELIGNEY
39700;SERRE LES MOULIERES
39300;SIROD
39130;SONGESON
39130;SOUCIA
39350;TAXENNE
39160;THOISSIA
39300;VALEMPOULIERES
39240;VALFIN SUR VALOUSE
39300;LE VAUDIOUX
39800;VAUX SUR POLIGNY
39570;VERNANTOIS
39380;LA VIEILLE LOYE
39200;VILLARD SUR BIENNE
39570;VILLENEUVE SOUS PYMONT
39600;VILLERS FARLAY
39120;VILLERS ROBERT
39190;VINCELLES
39230;VINCENT FROIDEVILLE
39360;VIRY
39360;VULVOZ
40800;AIRE SUR L ADOUR
40330;AMOU
40320;ARBOUCAVE
40110;ARENGOSSE
40110;ARJUZANX
40090;ARTASSENX
40700;AUBAGNAN
40090;BASCONS
40700;BASSERCLES
40370;BEYLONGUE
40600;BISCARROSSE
